ticker,direction,trend_ok,signal,as_of,close,ema21,sma50,sma100,sma200
AAPL,LONG,False,NONE,2025-12-03,284.1499938964844,274.07564313015774,264.4221600341797,244.92801406860352,
AMD,LONG,False,NONE,2025-12-03,217.60000610351562,224.34586012454668,222.28660003662108,193.77329986572266,
AMZN,LONG,False,NONE,2025-12-03,232.3800048828125,231.52897622245928,227.98460052490233,227.83700012207032,
AVGO,LONG,False,NONE,2025-12-03,380.6099853515625,367.9314536317823,353.6193994140625,331.6290530395508,
GOOGL,LONG,False,NONE,2025-12-03,319.6300048828125,298.94611129179054,271.7698004150391,241.59530303955077,
META,LONG,False,NONE,2025-12-03,639.5999755859375,636.4927034155938,678.8588000488281,713.3250042724609,
MSFT,LONG,False,NONE,2025-12-03,477.7300109863281,493.05781093377357,508.06151428222654,509.31985565185545,
NFLX,LONG,False,NONE,2025-12-03,103.95999908447266,109.23429036537974,113.9133201599121,117.55689018249512,
NVDA,LONG,False,NONE,2025-12-03,179.58999633789062,184.14223077137243,186.87500122070313,181.53693084716798,
TSLA,LONG,False,NONE,2025-12-03,446.739990234375,425.78160865720724,434.35,389.60899963378904,
AAPL,SHORT,False,NONE,2025-12-03,284.1499938964844,274.07564313015774,264.4221600341797,244.92801406860352,
AMD,SHORT,False,NONE,2025-12-03,217.60000610351562,224.34586012454668,222.28660003662108,193.77329986572266,
AMZN,SHORT,False,NONE,2025-12-03,232.3800048828125,231.52897622245928,227.98460052490233,227.83700012207032,
AVGO,SHORT,False,NONE,2025-12-03,380.6099853515625,367.9314536317823,353.6193994140625,331.6290530395508,
GOOGL,SHORT,False,NONE,2025-12-03,319.6300048828125,298.94611129179054,271.7698004150391,241.59530303955077,
META,SHORT,False,NONE,2025-12-03,639.5999755859375,636.4927034155938,678.8588000488281,713.3250042724609,
MSFT,SHORT,False,NONE,2025-12-03,477.7300109863281,493.05781093377357,508.06151428222654,509.31985565185545,
NFLX,SHORT,False,NONE,2025-12-03,103.95999908447266,109.23429036537974,113.9133201599121,117.55689018249512,
NVDA,SHORT,False,NONE,2025-12-03,179.58999633789062,184.14223077137243,186.87500122070313,181.53693084716798,
TSLA,SHORT,False,NONE,2025-12-03,446.739990234375,425.78160865720724,434.35,389.60899963378904,
